Line Item,Bank_2024,Bank_2023,Group_2024,Group_2023
Balances with Central Bank of Sri Lanka,2328346,2107776,,
Placements with banks,4573215,5882624,,
Financial assets measured at fair value through profit or loss,1828696,532933,,
Financial assets at amortised cost – Loans and advances to customers,17854794,12362367,,
Financial assets at amortised cost – Debt and other instruments,105424311,67867424,,
Financial assets measured at fair value through other comprehensive income,113099228,117448154,,
Other assets,45259333,7962053,,
Financial liabilities at amortised cost – Due to depositors,3100607,3283148,,
Financial liabilities at amortised cost – Due to other borrowers,20238402,16187151,,
Debt securities issued,6135322,7324761,,
Subordinated term debt,4235512,3830534,,
Commitments - Undrawn credit facilities,2099815,150000,,
Commitments - Forward exchange contracts,65613029,56478281,,
