Line Item,Bank_2024,Bank_2023,Group_2024,Group_2023
(a) Subordinated Debentures Year of issuance Colombo Stock Exchange Listing Interest Face Value Payment Frequency Fixed / Interest Interest Rate floating Rate of interest Comparable rate Government Securities (Gross) (p.a) Repayment Terms Issue Date Maturity Date As at 31.12.2024 As at 31.12.2023 As at 31.12.2024 As at 31.12.2023 2006 Listed At maturity,1362800.00,,,
Year 1st Apr 2006 31st Mar 2024,,1327463.00,,1327463.00
Listed Annually,1922570.00,,,
Year 23rd Sep 2019 22nd Sep 2024,,1987358.00,,1970530.00
Listed Annually,8077430.00,,,
Fixed 12.80% 9.41% 7 Year 23rd Sep 2019 22nd Sep 2026,8354270.00,8360693.00,8290737.00,8297181.00
Listed Annually,1033820.00,,,
Year 30th Dec 2019 30th Dec 2024,,,,1169647.00
Listed Annually,7000000.00,,,
Fixed 11.07% 10 Year 28th Jul 2021 29th Jul 2031,7283443.00,7286042.00,7169614.00,7172242.00
"year T Bill rate 1 year T Bill + 3% rate 3% 5 Year 25th April 2022 25th April 2027 8,212,500 Fixed 13.00% 10.60% 5 Year 2,198,400 Fixed 12.60% 10.60% 5 Year Unlisted Annually 2,000,000 Floating 2024 Listed Annually 2024 Listed Semi-Annually 2024 2024 9.50% Listed Listed Annually Annually 282,400 Fixed 1,306,700 Fixed 13.25% 13.50% 11.07% 11.75% 7 Year 10 Year 27th August 26th August 2024 2029 27th August 26th August 2024 2029 27th August 26th August 2024 2031 27th August 26th August 2024 2034 Total subordinated debentures",1367429.00,,1367429.00,
Analysis of subordinated debentures Due within one year,819957.00,3884126.00,804340.00,5053774.00
Due after one year,27354270.00,15077430.00,29162845.00,17201390.00
"Rs 386 Mn (2023 - Rs 194 Mn) in subordinated debentures issued by made in the debentures issued by HNB Finance PLC in 2024 (2023 - Rs 141 Mn). principal and interest or other breaches with respect to its debt securities during the year ended 31st December 2024. BASEL III Compliant approved Subordinated Debentures regulator. These capital securities are capital base as Tier 2 capital. BASEL III compliant subordinated debentures are either perpetual or dated subordinated securities on which there is an obligation to pay coupons with a minimum maturity period of five years and which can be converted to ordinary shares at an objective, pre-specified trigger point determined by the Monetary Board. They may be called before maturity date at The securities would, in the event of the winding-up of the issuer, be subordinated to the claims of depositors and all other creditors of the issuer. 52 (b) Subordinated Debentures Movements",53.00,,,
Balance as at 1st January,18961556.00,22914299.00,29967185.00,26151300.00
Debentures issued,12000000.00,,12000000.00,
Interest accrued,2433427.00,2502644.00,2685647.00,3028092.00
Debentures redeemed,-3418114.00,,,
