Line Item,Group_2024
Stated Capital,33553624.00
Voting Shares,7401492.00
Non-Voting Shares,10410000.00
Statutory Reserve,28493417.00
Capital General Reserve,59100000.00
Fair value Reserve,4069473.00
Life Policy Reserve,10983.00
Restricted Reserve,381156.00
Exchange Reserve,568207.00
Retained Earnings,68251694.00
Shareholders' Regulatory Reserve Fund,212240046.00
Total Equity,7316735.00
Controlling Interest,219556781.00
Balance as at 1st January 2024,7208538.00
Total comprehensive income for the period - Net profit for the period,7420373.00
"Other comprehensive income for the period, net of tax",1537155.00
Total comprehensive income for the period,-219313.00
"Transactions with equity holders, recognised directly in equity - Dividends to equity holders - Final dividend 2023 - Cash",1317842.00
Transfer to life policy holder reserve fund,-2238954.00
Balance as at 31st March 2024,35072240.00
