Line Item,Bank_2025,Bank_2024,Group_2025,Group_2024
Profit for the period,10229296.00,6237310.00,11055300.00,7420373.00
Net gains / (losses) on investments in debt instruments measured at fair value through other comprehensive income,-468489.00,-203502.00,-468489.00,-203502.00
Net change in expected credit losses of debt securities measured at fair value through other comprehensive income,88057.00,,88057.00,
Net gains / (losses) on investments in debt instruments measured at fair value through other comprehensive income (Group only),,,-402672.00,-203502.00
Reclassification of net gains / (losses) on de-recognition of debt instruments at fair value through other comprehensive income to income statement,,,-45469.00,
Transfer to / (from) life policy holder reserve fund,,,-48756.00,-229932.00
Share of other comprehensive income of associate / joint venture that will be reclassified to profit or loss,,,-57337.00,-88937.00
Change in fair value of investments in equity instruments designated at fair value through other comprehensive income,-20763.00,,,
Other comprehensive income that will not be reclassified to profit or loss in subsequent periods - Less: Tax expense relating to items that will not be reclassified to profit or loss,-176316.00,-925098.00,-173189.00,-926671.00
Total other comprehensive income that will be reclassified to profit or loss,499462.00,2158563.00,380007.00,1521344.00
"Other comprehensive income for the period, net of tax",30974.00,1955061.00,-22665.00,1317842.00
"Total comprehensive income for the period, net of tax",10260270.00,8192371.00,11032635.00,8738215.00
Total comprehensive income attributable to: Equity holders of the Bank,10260269.00,8192371.00,10697935.00,8745693.00
Total comprehensive income attributable to: Non-controlling interests,4.00,25.00,334700.00,-7478.00
