Line Item,Bank_2025,Bank_2024,Group_2025,Group_2024
Net interest income,3734680.00,4541460.00,7348429.00,9762453.00
Foreign exchange income,3399400.00,3745298.00,590884.00,451274.00
Net fee and commission income,9416162.00,5572281.00,29873.00,77815.00
Other operating income / (loss),1925832.00,1861366.00,653426.00,
Total operating income / (loss),1472208.00,1255411.00,-659892.00,-1933061.00
Loans and other losses,27911002.00,25334297.00,125962.00,1483116.00
Net operating income / (loss),319440.00,374932.00,183912.00,1782.00
Impairment charge / (reversal) for loans and other losses,153465.00,-1911084.00,,
Profit from operations,683231.00,-2812329.00,1476542.00,-2685103.00
Share of profit of joint venture,1356146.00,1109946.00,2270317.00,2066953.00
Profit before tax,1183353.00,869694.00,162395.00,66678.00
Income tax expense,1645.00,2977.00,,
Profit for the period,169894.00,132875.00,104376.00,
Other comprehensive income,282338.00,112488.00,-182149.00,-19909.00
Total comprehensive income for the period,5348315.00,4341702.00,,
