Line Item,Bank_2024,Bank_2023,Group_2024,Group_2023
Balance as at 1st January 2024,,,219556781.00,
Total comprehensive income for the period,,,8738215.00,
Net profit for the period,,,7208538.00,
"Other comprehensive income for the period, net of tax",,,1537155.00,
"Transactions with equity holders, recognised directly in equity",,,-2238954.00,
Contributions by and distributions to equity holders,,,-2238954.00,
Dividends to equity holders,,,-2238954.00,
Total contributions by and distributions to equity holders,,,-2238954.00,
Transfer to life policy holder reserve fund,,,229932.00,
Balance as at 31st March 2024,,,225950131.00,
